Code,Date,Time,Class,Value
210298347,05/12/2018,15:50:00,HumidityMeasurementState,62.18
210298348,05/12/2018,15:50:00,LuminescenceState,100.0
210298349,05/12/2018,15:50:00,TemperatureState,29.3
210298359,05/12/2018,16:00:00,HumidityMeasurementState,31.84
210298360,05/12/2018,16:00:00,LuminescenceState,0.87
210298361,05/12/2018,16:00:00,TemperatureState,26.54
210298371,05/12/2018,16:10:00,HumidityMeasurementState,31.91
210298372,05/12/2018,16:10:00,LuminescenceState,0.87
210298373,05/12/2018,16:10:00,TemperatureState,26.19
210298383,05/12/2018,16:20:00,HumidityMeasurementState,31.9
210298384,05/12/2018,16:20:00,LuminescenceState,0.87
210298385,05/12/2018,16:20:00,TemperatureState,25.7
210298396,05/12/2018,16:30:00,HumidityMeasurementState,31.91
210298397,05/12/2018,16:30:00,LuminescenceState,0.87
210298398,05/12/2018,16:30:00,TemperatureState,25.46
210298408,05/12/2018,16:40:00,HumidityMeasurementState,31.85
210298409,05/12/2018,16:40:00,LuminescenceState,0.87
210298410,05/12/2018,16:40:00,TemperatureState,25.26
210298423,05/12/2018,16:50:00,HumidityMeasurementState,31.84
210298424,05/12/2018,16:50:00,LuminescenceState,0.87
210298425,05/12/2018,16:50:00,TemperatureState,25.26
210298433,05/12/2018,17:10:00,HumidityMeasurementState,31.81
210298434,05/12/2018,17:10:00,LuminescenceState,0.87
210298435,05/12/2018,17:10:00,TemperatureState,24.37
210298450,05/12/2018,17:20:00,HumidityMeasurementState,31.81
210298451,05/12/2018,17:20:00,LuminescenceState,0.87
210298452,05/12/2018,17:20:00,TemperatureState,24.12
210298467,05/12/2018,17:30:00,HumidityMeasurementState,31.81
210298468,05/12/2018,17:30:00,LuminescenceState,0.87
210298469,05/12/2018,17:30:00,TemperatureState,23.62
210298484,05/12/2018,17:40:00,HumidityMeasurementState,31.83
210298485,05/12/2018,17:40:00,LuminescenceState,0.87
210298486,05/12/2018,17:40:00,TemperatureState,23.42
210298501,05/12/2018,17:50:00,HumidityMeasurementState,31.83
210298502,05/12/2018,17:50:00,LuminescenceState,0.87
210298503,05/12/2018,17:50:00,TemperatureState,23.42
210298518,05/12/2018,18:00:00,HumidityMeasurementState,31.9
210298519,05/12/2018,18:00:00,LuminescenceState,0.87
210298520,05/12/2018,18:00:00,TemperatureState,22.68
210298535,05/12/2018,18:10:00,HumidityMeasurementState,31.99
210298536,05/12/2018,18:10:00,LuminescenceState,0.87
210298537,05/12/2018,18:10:00,TemperatureState,22.45
210298552,05/12/2018,18:20:00,HumidityMeasurementState,32.05
210298553,05/12/2018,18:20:00,LuminescenceState,0.87
210298554,05/12/2018,18:20:00,TemperatureState,22.24
210298569,05/12/2018,18:30:00,HumidityMeasurementState,32.12
210298570,05/12/2018,18:30:00,LuminescenceState,0.87
