Code,Date,Time,Class,Value
210298336,05/12/2018,15:42:55,MovementState,isMoving
210298337,05/12/2018,15:45:06,MovementState,notMoving
210298344,05/12/2018,15:50:00,HumidityMeasurementState,43.65
210298345,05/12/2018,15:50:00,LuminescenceState,1.04
210298346,05/12/2018,15:50:00,TemperatureState,26.67
210298356,05/12/2018,16:00:00,HumidityMeasurementState,43.76
210298357,05/12/2018,16:00:00,LuminescenceState,1.04
210298358,05/12/2018,16:00:00,TemperatureState,26.42
210298368,05/12/2018,16:10:00,HumidityMeasurementState,43.85
210298369,05/12/2018,16:10:00,LuminescenceState,1.04
210298370,05/12/2018,16:10:00,TemperatureState,25.63
210298380,05/12/2018,16:20:00,HumidityMeasurementState,43.84
210298381,05/12/2018,16:20:00,LuminescenceState,1.04
210298382,05/12/2018,16:20:00,TemperatureState,25.38
210298393,05/12/2018,16:30:00,HumidityMeasurementState,43.85
210298394,05/12/2018,16:30:00,LuminescenceState,1.04
210298395,05/12/2018,16:30:00,TemperatureState,25.12
210298405,05/12/2018,16:40:00,HumidityMeasurementState,43.85
210298406,05/12/2018,16:40:00,LuminescenceState,1.04
210298407,05/12/2018,16:40:00,TemperatureState,25.12
210298420,05/12/2018,16:50:00,HumidityMeasurementState,43.74
210298421,05/12/2018,16:50:00,LuminescenceState,1.04
210298422,05/12/2018,16:50:00,TemperatureState,24.65
210298436,05/12/2018,17:10:00,HumidityMeasurementState,43.74
210298437,05/12/2018,17:10:00,LuminescenceState,1.04
210298438,05/12/2018,17:10:00,TemperatureState,24.65
210298453,05/12/2018,17:20:00,HumidityMeasurementState,43.46
210298454,05/12/2018,17:20:00,LuminescenceState,1.04
210298455,05/12/2018,17:20:00,TemperatureState,23.86
210298470,05/12/2018,17:30:00,HumidityMeasurementState,43.33
210298471,05/12/2018,17:30:00,LuminescenceState,1.04
210298472,05/12/2018,17:30:00,TemperatureState,23.33
210298487,05/12/2018,17:40:00,HumidityMeasurementState,43.26
210298488,05/12/2018,17:40:00,LuminescenceState,1.04
210298489,05/12/2018,17:40:00,TemperatureState,23.12
210298504,05/12/2018,17:50:00,HumidityMeasurementState,43.2
210298505,05/12/2018,17:50:00,LuminescenceState,1.04
210298506,05/12/2018,17:50:00,TemperatureState,22.6
210298521,05/12/2018,18:00:00,HumidityMeasurementState,43.2
210298522,05/12/2018,18:00:00,LuminescenceState,1.04
210298523,05/12/2018,18:00:00,TemperatureState,22.36
210298538,05/12/2018,18:10:00,HumidityMeasurementState,43.2
210298539,05/12/2018,18:10:00,LuminescenceState,1.04
210298540,05/12/2018,18:10:00,TemperatureState,22.15
210298555,05/12/2018,18:20:00,HumidityMeasurementState,43.2
210298556,05/12/2018,18:20:00,LuminescenceState,1.04
210298557,05/12/2018,18:20:00,TemperatureState,22.15
210298572,05/12/2018,18:30:00,HumidityMeasurementState,43.15
210298573,05/12/2018,18:30:00,LuminescenceState,1.04
210298574,05/12/2018,18:30:00,TemperatureState,21.72
210298589,05/12/2018,18:40:00,HumidityMeasurementState,43.19
210298590,05/12/2018,18:40:00,LuminescenceState,1.04
210298591,05/12/2018,18:40:00,TemperatureState,21.49
210298606,05/12/2018,18:50:00,HumidityMeasurementState,43.19
210298607,05/12/2018,18:50:00,LuminescenceState,1.04
210298608,05/12/2018,18:50:00,TemperatureState,21.49
210298623,05/12/2018,19:00:00,HumidityMeasurementState,43.26
210298624,05/12/2018,19:00:00,LuminescenceState,1.04
210298625,05/12/2018,19:00:00,TemperatureState,21.24
210298640,05/12/2018,19:10:00,HumidityMeasurementState,43.26
