Code,Date,Time,Class,Value
231233170,12/04/2019,09:20:00,TemperatureState,19.14
231233169,12/04/2019,09:20:00,LuminescenceState,40.06
231233168,12/04/2019,09:20:00,HumidityMeasurementState,58.39
231233145,12/04/2019,09:10:00,TemperatureState,19.13
231233144,12/04/2019,09:10:00,LuminescenceState,30.13
231233143,12/04/2019,09:10:00,HumidityMeasurementState,58.45
231233117,12/04/2019,09:00:00,TemperatureState,19.16
231233116,12/04/2019,09:00:00,LuminescenceState,19.86
231233115,12/04/2019,09:00:00,HumidityMeasurementState,58.55
231233106,12/04/2019,08:59:12,MovementState,notMoving
231233101,12/04/2019,08:56:52,MovementState,isMoving
231233089,12/04/2019,08:50:00,TemperatureState,19.18
231233088,12/04/2019,08:50:00,LuminescenceState,31.7
231233087,12/04/2019,08:50:00,HumidityMeasurementState,58.57
231233072,12/04/2019,08:40:00,TemperatureState,19.22
231233071,12/04/2019,08:40:00,LuminescenceState,29.79
231233070,12/04/2019,08:40:00,HumidityMeasurementState,58.73
231233055,12/04/2019,08:30:00,TemperatureState,19.22
231233054,12/04/2019,08:30:00,LuminescenceState,29.79
231233053,12/04/2019,08:30:00,HumidityMeasurementState,58.73
231233038,12/04/2019,08:20:00,TemperatureState,19.22
231233037,12/04/2019,08:20:00,LuminescenceState,25.95
231233036,12/04/2019,08:20:00,HumidityMeasurementState,58.73
231233021,12/04/2019,08:10:00,TemperatureState,19.24
231233020,12/04/2019,08:10:00,LuminescenceState,18.11
231233019,12/04/2019,08:10:00,HumidityMeasurementState,58.82
231233004,12/04/2019,08:00:00,TemperatureState,19.27
231233003,12/04/2019,08:00:00,LuminescenceState,28.91
231233002,12/04/2019,08:00:00,HumidityMeasurementState,58.88
231232987,12/04/2019,07:50:00,TemperatureState,19.3
231232986,12/04/2019,07:50:00,LuminescenceState,35.19
231232985,12/04/2019,07:50:00,HumidityMeasurementState,58.97
231232970,12/04/2019,07:40:00,TemperatureState,19.34
231232969,12/04/2019,07:40:00,LuminescenceState,42.68
231232968,12/04/2019,07:40:00,HumidityMeasurementState,59.06
231232951,12/04/2019,07:30:00,TemperatureState,19.39
231232950,12/04/2019,07:30:00,LuminescenceState,32.92
231232949,12/04/2019,07:30:00,HumidityMeasurementState,59.17
231232922,12/04/2019,07:20:00,TemperatureState,19.39
231232921,12/04/2019,07:20:00,LuminescenceState,32.92
231232920,12/04/2019,07:20:00,HumidityMeasurementState,59.17
231232890,12/04/2019,07:10:00,TemperatureState,19.35
231232889,12/04/2019,07:10:00,LuminescenceState,30.13
231232888,12/04/2019,07:10:00,HumidityMeasurementState,59.01
231232868,12/04/2019,07:04:10,MovementState,notMoving
231232863,12/04/2019,07:01:49,MovementState,isMoving
231232855,12/04/2019,07:00:00,TemperatureState,19.15
231232854,12/04/2019,07:00:00,LuminescenceState,20.73
231232853,12/04/2019,07:00:00,HumidityMeasurementState,58.36
231232838,12/04/2019,06:54:19,MovementState,notMoving
231232833,12/04/2019,06:52:06,MovementState,isMoving
231232830,12/04/2019,06:50:33,MovementState,notMoving
231232823,12/04/2019,06:50:00,TemperatureState,19.15
231232822,12/04/2019,06:50:00,LuminescenceState,20.73
231232821,12/04/2019,06:50:00,HumidityMeasurementState,58.36
231232809,12/04/2019,06:48:12,MovementState,isMoving
231232808,12/04/2019,06:48:02,MovementState,notMoving
231232805,12/04/2019,06:45:53,MovementState,isMoving
231232790,12/04/2019,06:40:00,TemperatureState,19.15
231232789,12/04/2019,06:40:00,LuminescenceState,20.73
231232788,12/04/2019,06:40:00,HumidityMeasurementState,58.36
231232760,12/04/2019,06:30:00,TemperatureState,18.95
231232759,12/04/2019,06:30:00,LuminescenceState,12.02
231232758,12/04/2019,06:30:00,HumidityMeasurementState,58.97
231232737,12/04/2019,06:20:00,TemperatureState,18.95
231232736,12/04/2019,06:20:00,LuminescenceState,12.02
231232735,12/04/2019,06:20:00,HumidityMeasurementState,58.97
231232709,12/04/2019,06:10:00,TemperatureState,18.95
231232708,12/04/2019,06:10:00,LuminescenceState,12.02
231232707,12/04/2019,06:10:00,HumidityMeasurementState,58.97
231232679,12/04/2019,06:00:00,TemperatureState,18.73
231232678,12/04/2019,06:00:00,LuminescenceState,9.58
231232677,12/04/2019,06:00:00,HumidityMeasurementState,59.71
231232662,12/04/2019,05:56:33,MovementState,notMoving
231232658,12/04/2019,05:54:24,MovementState,isMoving
231232657,12/04/2019,05:53:53,MovementState,notMoving
231232650,12/04/2019,05:50:00,TemperatureState,18.87
231232649,12/04/2019,05:50:00,LuminescenceState,14.11
231232648,12/04/2019,05:50:00,HumidityMeasurementState,59.09
231232639,12/04/2019,05:47:42,MovementState,isMoving
231232638,12/04/2019,05:47:30,MovementState,notMoving
231232634,12/04/2019,05:45:10,MovementState,isMoving
231232625,12/04/2019,05:40:00,TemperatureState,18.87
231232624,12/04/2019,05:40:00,LuminescenceState,14.11
231232623,12/04/2019,05:40:00,HumidityMeasurementState,59.09
231232602,12/04/2019,05:30:00,TemperatureState,19.1
231232601,12/04/2019,05:30:00,LuminescenceState,8.36
231232600,12/04/2019,05:30:00,HumidityMeasurementState,58.42
231232583,12/04/2019,05:20:00,TemperatureState,19.34
231232582,12/04/2019,05:20:00,LuminescenceState,5.92
231232581,12/04/2019,05:20:00,HumidityMeasurementState,57.79
231232571,12/04/2019,05:14:44,MovementState,notMoving
231232566,12/04/2019,05:10:25,MovementState,isMoving
231232558,12/04/2019,05:10:00,TemperatureState,19.57
231232557,12/04/2019,05:10:00,LuminescenceState,37.8
231232556,12/04/2019,05:10:00,HumidityMeasurementState,56.94
231232551,12/04/2019,05:10:03,MovementState,notMoving
231232543,12/04/2019,05:07:50,MovementState,isMoving
231232538,12/04/2019,05:04:29,MovementState,notMoving
231203284,12/04/2019,05:02:20,MovementState,isMoving
231203277,12/04/2019,05:00:00,TemperatureState,19.57
231203276,12/04/2019,05:00:00,LuminescenceState,37.8
231203275,12/04/2019,05:00:00,HumidityMeasurementState,56.94
231203266,12/04/2019,04:59:11,MovementState,notMoving
231203265,12/04/2019,04:57:03,MovementState,isMoving
231203258,12/04/2019,04:50:00,TemperatureState,19.69
231203257,12/04/2019,04:50:00,LuminescenceState,0.34
231203256,12/04/2019,04:50:00,HumidityMeasurementState,56.94
231203241,12/04/2019,04:40:00,TemperatureState,19.69
231203240,12/04/2019,04:40:00,LuminescenceState,0.34
231203239,12/04/2019,04:40:00,HumidityMeasurementState,56.94
231203224,12/04/2019,04:30:00,TemperatureState,19.69
231203223,12/04/2019,04:30:00,LuminescenceState,0.34
231203222,12/04/2019,04:30:00,HumidityMeasurementState,56.94
231203207,12/04/2019,04:20:00,TemperatureState,19.69
231203206,12/04/2019,04:20:00,LuminescenceState,0.34
231203205,12/04/2019,04:20:00,HumidityMeasurementState,56.94
231203190,12/04/2019,04:10:00,TemperatureState,19.69
231203189,12/04/2019,04:10:00,LuminescenceState,0.34
231203188,12/04/2019,04:10:00,HumidityMeasurementState,56.94
231203173,12/04/2019,04:00:00,TemperatureState,19.91
231203172,12/04/2019,04:00:00,LuminescenceState,0.34
231203171,12/04/2019,04:00:00,HumidityMeasurementState,56.82
231203156,12/04/2019,03:50:00,TemperatureState,19.91
231203155,12/04/2019,03:50:00,LuminescenceState,0.34
231203154,12/04/2019,03:50:00,HumidityMeasurementState,56.82
231203139,12/04/2019,03:40:00,TemperatureState,19.91
231203138,12/04/2019,03:40:00,LuminescenceState,0.34
231203137,12/04/2019,03:40:00,HumidityMeasurementState,56.82
231203122,12/04/2019,03:30:00,TemperatureState,19.91
231203121,12/04/2019,03:30:00,LuminescenceState,0.34
