Code,Date,Time,Class,Value
231233167,12/04/2019,09:20:00,TemperatureState,21.4
231233166,12/04/2019,09:20:00,LuminescenceState,38.5
231233165,12/04/2019,09:20:00,HumidityMeasurementState,53.21
231233159,12/04/2019,09:19:25,MovementState,notMoving
231233152,12/04/2019,09:10:24,MovementState,isMoving
231233142,12/04/2019,09:10:00,TemperatureState,20.8
231233141,12/04/2019,09:10:00,LuminescenceState,30.31
231233140,12/04/2019,09:10:05,MovementState,notMoving
231233139,12/04/2019,09:10:00,HumidityMeasurementState,51.73
231233133,12/04/2019,09:07:43,MovementState,isMoving
231233132,12/04/2019,09:07:28,MovementState,notMoving
231233126,12/04/2019,09:00:40,MovementState,isMoving
231233114,12/04/2019,09:00:00,TemperatureState,20.8
231233113,12/04/2019,09:00:00,LuminescenceState,30.31
231233112,12/04/2019,09:00:00,HumidityMeasurementState,51.73
231233105,12/04/2019,08:59:00,MovementState,notMoving
231233099,12/04/2019,08:56:40,MovementState,isMoving
231233086,12/04/2019,08:50:00,TemperatureState,20.8
231233085,12/04/2019,08:50:00,LuminescenceState,30.31
231233084,12/04/2019,08:50:00,HumidityMeasurementState,51.73
231233069,12/04/2019,08:40:00,TemperatureState,20.8
231233068,12/04/2019,08:40:00,LuminescenceState,30.31
231233067,12/04/2019,08:40:00,HumidityMeasurementState,51.73
231233052,12/04/2019,08:30:00,TemperatureState,20.8
231233051,12/04/2019,08:30:00,LuminescenceState,30.31
231233050,12/04/2019,08:30:00,HumidityMeasurementState,51.73
231233035,12/04/2019,08:20:00,TemperatureState,20.83
231233034,12/04/2019,08:20:00,LuminescenceState,20.03
231233033,12/04/2019,08:20:00,HumidityMeasurementState,51.72
231233018,12/04/2019,08:10:00,TemperatureState,20.91
231233017,12/04/2019,08:10:00,LuminescenceState,25.78
231233016,12/04/2019,08:10:00,HumidityMeasurementState,51.73
231233001,12/04/2019,08:00:00,TemperatureState,21.0
231233000,12/04/2019,08:00:00,LuminescenceState,31.18
231232999,12/04/2019,08:00:00,HumidityMeasurementState,51.72
231232984,12/04/2019,07:50:00,TemperatureState,21.0
231232983,12/04/2019,07:50:00,LuminescenceState,31.18
231232982,12/04/2019,07:50:00,HumidityMeasurementState,51.72
231232967,12/04/2019,07:40:00,TemperatureState,21.19
231232966,12/04/2019,07:40:00,LuminescenceState,29.61
231232965,12/04/2019,07:40:00,HumidityMeasurementState,52.05
231232948,12/04/2019,07:30:00,TemperatureState,21.19
231232947,12/04/2019,07:30:00,LuminescenceState,29.61
231232946,12/04/2019,07:30:00,HumidityMeasurementState,52.05
231232941,12/04/2019,07:30:01,MovementState,notMoving
231232937,12/04/2019,07:27:39,MovementState,isMoving
231232936,12/04/2019,07:27:28,MovementState,notMoving
231232933,12/04/2019,07:24:56,MovementState,isMoving
231232932,12/04/2019,07:22:02,MovementState,notMoving
231232919,12/04/2019,07:20:00,TemperatureState,21.19
231232918,12/04/2019,07:20:00,LuminescenceState,25.08
231232917,12/04/2019,07:20:00,HumidityMeasurementState,52.05
231232908,12/04/2019,07:15:31,MovementState,isMoving
231232906,12/04/2019,07:15:21,MovementState,notMoving
231232903,12/04/2019,07:12:51,MovementState,isMoving
231232893,12/04/2019,07:10:11,MovementState,notMoving
231232887,12/04/2019,07:10:00,TemperatureState,21.22
231232886,12/04/2019,07:10:00,LuminescenceState,19.16
231232885,12/04/2019,07:10:00,HumidityMeasurementState,51.15
231232875,12/04/2019,07:07:48,MovementState,isMoving
231232874,12/04/2019,07:07:32,MovementState,notMoving
231232869,12/04/2019,07:05:13,MovementState,isMoving
231232864,12/04/2019,07:02:51,MovementState,notMoving
231232852,12/04/2019,07:00:00,TemperatureState,21.22
231232851,12/04/2019,07:00:00,LuminescenceState,19.16
231232850,12/04/2019,07:00:00,HumidityMeasurementState,51.15
231232837,12/04/2019,06:54:11,MovementState,isMoving
231232836,12/04/2019,06:53:26,MovementState,notMoving
231232820,12/04/2019,06:50:00,TemperatureState,21.43
231232819,12/04/2019,06:50:00,LuminescenceState,19.16
231232818,12/04/2019,06:50:00,HumidityMeasurementState,51.32
231232811,12/04/2019,06:48:26,MovementState,isMoving
231232803,12/04/2019,06:45:31,MovementState,notMoving
231232799,12/04/2019,06:43:09,MovementState,isMoving
231232787,12/04/2019,06:40:00,TemperatureState,21.43
231232786,12/04/2019,06:40:00,LuminescenceState,13.41
231232785,12/04/2019,06:40:00,HumidityMeasurementState,51.32
231232774,12/04/2019,06:33:11,MovementState,notMoving
231232768,12/04/2019,06:30:48,MovementState,isMoving
231232767,12/04/2019,06:30:22,MovementState,notMoving
231232757,12/04/2019,06:30:00,TemperatureState,21.43
231232756,12/04/2019,06:30:00,LuminescenceState,60.27
231232755,12/04/2019,06:30:00,HumidityMeasurementState,51.7
231232749,12/04/2019,06:27:53,MovementState,isMoving
231232748,12/04/2019,06:26:35,MovementState,notMoving
231232747,12/04/2019,06:23:59,MovementState,isMoving
231232746,12/04/2019,06:23:18,MovementState,notMoving
231232745,12/04/2019,06:20:55,MovementState,isMoving
231232744,12/04/2019,06:20:28,MovementState,notMoving
231232734,12/04/2019,06:20:00,TemperatureState,21.22
231232733,12/04/2019,06:20:00,LuminescenceState,59.23
231232732,12/04/2019,06:20:00,HumidityMeasurementState,51.99
231232724,12/04/2019,06:17:55,MovementState,isMoving
231232723,12/04/2019,06:17:45,MovementState,notMoving
231232706,12/04/2019,06:10:00,TemperatureState,20.98
231232705,12/04/2019,06:10:00,LuminescenceState,58.18
231232704,12/04/2019,06:10:00,HumidityMeasurementState,51.51
231232689,12/04/2019,06:04:29,MovementState,isMoving
231232687,12/04/2019,06:01:30,MovementState,notMoving
231232676,12/04/2019,06:00:00,TemperatureState,21.03
231232675,12/04/2019,06:00:00,LuminescenceState,5.57
231232674,12/04/2019,06:00:00,HumidityMeasurementState,51.51
231232666,12/04/2019,05:59:00,MovementState,isMoving
231232665,12/04/2019,05:58:43,MovementState,notMoving
231232659,12/04/2019,05:56:11,MovementState,isMoving
231232647,12/04/2019,05:50:00,TemperatureState,21.03
231232646,12/04/2019,05:50:00,LuminescenceState,5.57
231232645,12/04/2019,05:50:00,HumidityMeasurementState,51.51
231232635,12/04/2019,05:46:41,MovementState,notMoving
231232622,12/04/2019,05:40:00,TemperatureState,20.92
231232621,12/04/2019,05:40:00,LuminescenceState,51.21
231232620,12/04/2019,05:40:00,HumidityMeasurementState,52.66
231232599,12/04/2019,05:30:00,TemperatureState,20.68
