Class,Value,Timestamp
Bedroom,0,2019-03-12 15:10:56
Bedroom,1,2019-03-12 15:12:59
Bedroom,0,2019-03-12 15:15:11
Bedroom,1,2019-03-12 17:58:58
Bedroom,0,2019-03-12 18:01:09
Bedroom,1,2019-03-12 18:03:56
Bedroom,0,2019-03-12 18:10:21
Bedroom,1,2019-03-12 19:09:13
Bedroom,0,2019-03-12 19:11:24
Bedroom,1,2019-03-12 20:08:58
Bedroom,0,2019-03-12 20:11:24
Bedroom,1,2019-03-12 20:22:39
Bedroom,0,2019-03-12 20:29:32
Bedroom,1,2019-03-12 20:29:44
Bedroom,0,2019-03-12 20:32:10
Bedroom,1,2019-03-12 22:02:47
Bedroom,0,2019-03-12 22:05:05
Bedroom,1,2019-03-12 22:07:20
Bedroom,0,2019-03-12 22:09:33
Bedroom,1,2019-03-13 04:44:17
Bedroom,0,2019-03-13 04:46:32
Bedroom,1,2019-03-13 06:01:37
Bedroom,0,2019-03-13 06:03:55
Bedroom,1,2019-03-13 06:13:04
Bedroom,0,2019-03-13 06:17:32
Bedroom,1,2019-03-13 06:46:01
Bedroom,0,2019-03-13 06:48:27
Bedroom,1,2019-03-13 07:49:57
Bedroom,0,2019-03-13 07:52:15
Bedroom,1,2019-03-13 07:52:30
Bedroom,0,2019-03-13 07:58:51
Bedroom,1,2019-03-13 07:59:09
Bedroom,0,2019-03-13 08:05:14
Bedroom,1,2019-03-13 08:29:18
Bedroom,0,2019-03-13 08:31:39
Bedroom,1,2019-03-13 08:46:57
Bedroom,0,2019-03-13 08:51:27
Bedroom,1,2019-03-13 08:52:25
Bedroom,0,2019-03-13 08:54:36
Bedroom,1,2019-03-13 08:55:27
Bedroom,0,2019-03-13 08:57:39
Bedroom,1,2019-03-13 08:57:52
Bedroom,0,2019-03-13 09:00:12
Bedroom,1,2019-03-13 14:40:18
Bedroom,0,2019-03-13 14:42:33
Bedroom,1,2019-03-13 14:46:54
Bedroom,0,2019-03-13 14:49:12
Bedroom,1,2019-03-13 17:08:53
Bedroom,0,2019-03-13 17:11:11
Bedroom,1,2019-03-13 17:11:23
Bedroom,0,2019-03-13 17:15:45
Bedroom,1,2019-03-13 18:01:48
Bedroom,0,2019-03-13 18:08:01
Bedroom,1,2019-03-13 20:23:40
Bedroom,0,2019-03-13 20:25:59
Bedroom,1,2019-03-13 20:26:10
Bedroom,0,2019-03-13 20:32:28
Bedroom,1,2019-03-13 20:35:39
Bedroom,0,2019-03-13 20:37:54
Bedroom,1,2019-03-13 21:43:36
Bedroom,0,2019-03-13 21:45:43
Bedroom,1,2019-03-13 22:26:54
Bedroom,0,2019-03-13 22:29:20
Bedroom,1,2019-03-13 22:30:23
Bedroom,0,2019-03-13 22:32:42
Bedroom,1,2019-03-14 03:17:18
Bedroom,0,2019-03-14 03:19:36
Bedroom,1,2019-03-14 05:27:05
Bedroom,0,2019-03-14 05:29:16
Bedroom,1,2019-03-14 06:05:19
Bedroom,0,2019-03-14 06:07:30
Bedroom,1,2019-03-14 06:10:49
Bedroom,0,2019-03-14 06:15:24
Bedroom,1,2019-03-14 06:32:37
Bedroom,0,2019-03-14 06:34:49
Bedroom,1,2019-03-14 06:48:18
Bedroom,0,2019-03-14 06:50:26
Bedroom,1,2019-03-14 07:39:52
Bedroom,0,2019-03-14 07:42:11
Bedroom,1,2019-03-14 07:42:30
Bedroom,0,2019-03-14 07:48:41
Bedroom,1,2019-03-14 07:48:59
Bedroom,0,2019-03-14 07:57:18
Bedroom,1,2019-03-14 08:26:25
Bedroom,0,2019-03-14 08:30:33
Bedroom,1,2019-03-14 08:34:34
Bedroom,0,2019-03-14 08:36:45
Bedroom,1,2019-03-14 08:39:49
Bedroom,0,2019-03-14 08:42:00
Bedroom,1,2019-03-14 08:42:40
Bedroom,0,2019-03-14 08:45:05
Bedroom,1,2019-03-14 15:26:30
Bedroom,0,2019-03-14 15:28:57
Bedroom,1,2019-03-14 16:39:01
Bedroom,0,2019-03-14 16:41:28
Bedroom,1,2019-03-14 17:39:17
Bedroom,0,2019-03-14 17:41:42
Bedroom,1,2019-03-14 18:01:05
Bedroom,0,2019-03-14 18:03:23
Bedroom,1,2019-03-14 19:50:13
Bedroom,0,2019-03-14 19:52:31
Bedroom,1,2019-03-14 20:00:36
Bedroom,0,2019-03-14 20:03:02
Bedroom,1,2019-03-14 20:23:07
Bedroom,0,2019-03-14 20:27:33
Bedroom,1,2019-03-14 21:49:27
Bedroom,0,2019-03-14 21:51:38
Bedroom,1,2019-03-14 22:01:56
Bedroom,0,2019-03-14 22:04:23
Bedroom,1,2019-03-14 22:06:32
Bedroom,0,2019-03-14 22:08:43
Bedroom,1,2019-03-15 03:58:58
Bedroom,0,2019-03-15 04:01:16
Bedroom,1,2019-03-15 04:02:37
Bedroom,0,2019-03-15 04:04:55
Bedroom,1,2019-03-15 05:52:49
Bedroom,0,2019-03-15 05:55:08
Bedroom,1,2019-03-15 06:03:17
Bedroom,0,2019-03-15 06:07:22
Bedroom,1,2019-03-15 06:13:13
Bedroom,0,2019-03-15 06:15:24
Bedroom,1,2019-03-15 06:23:51
Bedroom,0,2019-03-15 06:26:05
Bedroom,1,2019-03-15 06:26:30
Bedroom,0,2019-03-15 06:28:56
Bedroom,1,2019-03-15 06:49:36
Bedroom,0,2019-03-15 06:51:48
Bedroom,1,2019-03-15 06:54:00
Bedroom,0,2019-03-15 07:06:40
Bedroom,1,2019-03-15 07:59:04
Bedroom,0,2019-03-15 08:01:32
Bedroom,1,2019-03-15 08:02:09
Bedroom,0,2019-03-15 08:04:20
Bedroom,1,2019-03-15 08:13:15
Bedroom,0,2019-03-15 08:17:17
Bedroom,1,2019-03-15 08:20:43
Bedroom,0,2019-03-15 08:27:04
Bedroom,1,2019-03-15 08:29:37
Bedroom,0,2019-03-15 08:31:52
Bedroom,1,2019-03-15 08:43:51
Bedroom,0,2019-03-15 08:45:59
Bedroom,1,2019-03-15 09:27:24
Bedroom,0,2019-03-15 09:29:35
Bedroom,1,2019-03-15 14:45:01
Bedroom,0,2019-03-15 14:47:08
Bedroom,1,2019-03-15 14:51:43
Bedroom,0,2019-03-15 14:53:54
Bedroom,1,2019-03-15 15:34:50
Bedroom,0,2019-03-15 15:37:08
Bedroom,1,2019-03-15 16:39:42
Bedroom,0,2019-03-15 16:41:54
Bedroom,1,2019-03-15 16:51:45
Bedroom,0,2019-03-15 16:53:52
Bedroom,1,2019-03-15 17:19:17
Bedroom,0,2019-03-15 17:21:35
Bedroom,1,2019-03-15 17:53:28
Bedroom,0,2019-03-15 17:55:34
Bedroom,1,2019-03-15 19:36:40
Bedroom,0,2019-03-15 19:38:56
Bedroom,1,2019-03-15 20:02:19
Bedroom,0,2019-03-15 20:04:31
Bedroom,1,2019-03-15 20:18:10
