Timestamp,HumidityMeasurementState,LuminescenceState,TemperatureState
2019-03-07 12:50:00,50.2,0.87,14.4
2019-03-07 13:00:00,50.2,0.87,14.4
2019-03-07 13:10:00,50.2,0.87,14.4
2019-03-07 13:20:00,50.2,0.87,14.4
2019-03-07 13:30:00,50.2,0.87,14.4
2019-03-07 13:40:00,50.2,0.87,14.4
2019-03-07 13:50:00,50.2,0.87,14.4
2019-03-07 14:00:00,50.2,0.87,14.4
2019-03-07 14:10:00,50.2,0.87,14.4
2019-03-07 14:20:00,50.2,0.87,14.4
2019-03-07 14:30:00,50.2,0.87,14.4
2019-03-07 14:40:00,50.2,0.87,14.4
2019-03-07 14:50:00,50.2,0.87,14.4
2019-03-07 15:00:00,50.2,0.87,14.4
2019-03-07 15:10:00,50.2,0.87,14.4
2019-03-07 15:20:00,50.2,0.87,14.4
2019-03-07 15:30:00,50.2,0.87,14.4
2019-03-07 15:40:00,50.2,0.87,14.4
2019-03-07 15:50:00,50.2,0.87,14.4
2019-03-07 16:00:00,50.2,0.87,14.4
2019-03-07 16:10:00,50.2,0.87,14.4
2019-03-07 16:20:00,50.2,0.87,14.4
2019-03-07 16:30:00,51.8,0.87,14.6
2019-03-07 16:40:00,51.8,0.87,14.6
2019-03-07 16:50:00,51.8,0.87,14.6
2019-03-07 17:00:00,51.47,1.56,15.5
2019-03-07 17:10:00,51.76,1.56,15.29
2019-03-07 17:20:00,51.88,0.87,15.54
2019-03-07 17:30:00,51.81,0.87,15.6
2019-03-07 17:40:00,51.81,0.87,15.6
2019-03-07 17:50:00,51.3,0.87,15.84
2019-03-07 18:00:00,51.3,0.87,15.84
2019-03-07 18:10:00,51.2,0.87,16.05
2019-03-07 18:20:00,51.2,0.87,16.05
2019-03-07 18:30:00,51.2,0.87,16.05
2019-03-07 18:40:00,51.2,0.87,16.05
2019-03-07 18:50:00,51.2,0.87,16.05
2019-03-07 19:00:00,51.2,0.87,16.05
2019-03-07 19:10:00,51.2,0.87,16.05
2019-03-07 19:20:00,51.2,0.87,16.05
2019-03-07 19:30:00,51.2,0.87,16.05
2019-03-07 19:40:00,51.2,0.87,16.05
2019-03-07 19:50:00,51.2,0.87,16.05
2019-03-07 20:00:00,51.2,0.87,16.05
2019-03-07 20:10:00,51.2,0.87,16.05
2019-03-07 20:20:00,51.2,0.87,16.05
2019-03-07 20:30:00,51.2,0.87,16.05
2019-03-07 20:40:00,51.2,0.87,16.05
2019-03-07 20:50:00,51.2,0.87,16.05
2019-03-07 21:00:00,51.2,0.87,16.05
2019-03-07 21:10:00,51.2,0.87,16.05
2019-03-07 21:20:00,51.2,0.87,16.05
2019-03-07 21:30:00,51.2,0.87,16.05
2019-03-07 21:40:00,51.2,0.87,16.05
2019-03-07 21:50:00,51.2,0.87,16.05
2019-03-07 22:00:00,51.2,0.87,16.05
2019-03-07 22:10:00,51.2,0.87,16.05
2019-03-07 22:20:00,51.2,0.87,16.05
2019-03-07 22:30:00,51.2,0.87,16.05
2019-03-07 22:40:00,51.2,0.87,16.05
2019-03-07 22:50:00,51.2,0.87,16.05
2019-03-07 23:00:00,51.2,0.87,16.05
2019-03-07 23:10:00,51.2,0.87,16.05
2019-03-07 23:20:00,51.2,0.87,16.05
2019-03-07 23:30:00,51.2,0.87,16.05
2019-03-07 23:40:00,51.2,0.87,16.05
2019-03-07 23:50:00,51.2,0.87,16.05
2019-03-08 00:00:00,51.2,0.87,16.05
2019-03-08 00:10:00,51.2,0.87,16.05
2019-03-08 00:20:00,51.2,0.87,16.05
2019-03-08 00:30:00,51.2,0.87,16.05
2019-03-08 00:40:00,51.2,0.87,16.05
2019-03-08 00:50:00,51.2,0.87,16.05
2019-03-08 01:00:00,51.2,0.87,16.05
2019-03-08 01:10:00,51.2,0.87,16.05
2019-03-08 01:20:00,51.2,0.87,16.05
2019-03-08 01:30:00,51.2,0.87,16.05
2019-03-08 01:40:00,51.2,0.87,16.05
2019-03-08 01:50:00,51.2,0.87,16.05
2019-03-08 02:00:00,51.2,0.87,16.05
2019-03-08 02:10:00,50.04,0.87,15.84
2019-03-08 02:20:00,50.04,0.87,15.84
2019-03-08 02:30:00,50.04,0.87,15.84
2019-03-08 02:40:00,50.04,0.87,15.84
2019-03-08 02:50:00,50.04,0.87,15.84
2019-03-08 03:00:00,50.04,0.87,15.84
2019-03-08 03:10:00,50.04,0.87,15.84
2019-03-08 03:20:00,50.04,0.87,15.84
2019-03-08 03:30:00,50.04,0.87,15.84
2019-03-08 03:40:00,50.04,0.87,15.84
2019-03-08 03:50:00,50.04,0.87,15.84
2019-03-08 04:00:00,50.04,0.87,15.84
2019-03-08 04:10:00,50.04,0.87,15.84
2019-03-08 04:20:00,50.04,0.87,15.84
2019-03-08 04:30:00,50.04,0.87,15.84
2019-03-08 04:40:00,50.04,0.87,15.84
2019-03-08 04:50:00,49.36,0.87,15.63
2019-03-08 05:00:00,49.36,0.87,15.63
2019-03-08 05:10:00,49.36,0.87,15.63
2019-03-08 05:20:00,49.36,0.87,15.63
2019-03-08 05:30:00,49.05,0.87,15.85
2019-03-08 05:40:00,48.66,0.87,16.1
2019-03-08 05:50:00,48.66,0.87,16.1
2019-03-08 06:00:00,48.22,0.87,16.31
2019-03-08 06:10:00,48.22,0.87,16.31
2019-03-08 06:20:00,48.22,0.87,16.31
2019-03-08 06:30:00,48.22,0.87,16.31
2019-03-08 06:40:00,48.22,0.87,16.31
2019-03-08 06:50:00,48.22,0.87,16.31
2019-03-08 07:00:00,48.22,0.87,16.31
2019-03-08 07:10:00,48.22,0.87,16.31
2019-03-08 07:20:00,48.22,0.87,16.31
2019-03-08 07:30:00,48.22,0.87,16.31
2019-03-08 07:40:00,48.22,0.87,16.31
2019-03-08 07:50:00,48.22,0.87,16.31
2019-03-08 08:00:00,48.22,0.87,16.31
2019-03-08 08:10:00,48.22,0.87,16.31
2019-03-08 08:20:00,48.22,0.87,16.31
2019-03-08 08:30:00,48.22,0.87,16.31
2019-03-08 08:40:00,48.22,0.87,16.31
2019-03-08 08:50:00,48.22,0.87,16.31
2019-03-08 09:00:00,48.22,0.87,16.31
2019-03-08 09:10:00,49.74,34.66,15.82
2019-03-08 09:20:00,51.43,46.68,15.45
2019-03-08 09:30:00,53.05,35.88,15.09
2019-03-08 09:40:00,54.59,21.25,15.2
2019-03-08 09:50:00,54.5,24.21,15.53
2019-03-08 10:00:00,54.5,24.21,15.53
2019-03-08 10:10:00,55.11,17.77,15.63
2019-03-08 10:20:00,55.11,17.77,15.63
2019-03-08 10:30:00,55.11,17.77,15.63
2019-03-08 10:40:00,55.11,17.77,15.63
2019-03-08 10:50:00,54.79,11.49,15.75
2019-03-08 11:00:00,54.79,11.49,15.75
2019-03-08 11:10:00,54.79,11.49,15.75
2019-03-08 11:20:00,54.79,11.49,15.75
2019-03-08 11:30:00,54.79,11.49,15.75
2019-03-08 11:40:00,54.79,11.49,15.75
2019-03-08 11:50:00,54.79,10.45,15.75
2019-03-08 12:00:00,54.79,10.45,15.75
2019-03-08 12:10:00,54.79,10.45,15.75
2019-03-08 12:20:00,52.99,14.28,15.96
2019-03-08 12:30:00,52.48,8.36,15.96
2019-03-08 12:40:00,52.48,8.36,15.96
2019-03-08 12:50:00,52.48,8.36,15.96
2019-03-08 13:00:00,52.48,8.36,15.96
2019-03-08 13:10:00,52.48,8.36,15.96
2019-03-08 13:20:00,52.48,8.36,15.96
2019-03-08 13:30:00,52.48,8.36,15.96
2019-03-08 13:40:00,52.02,1.56,16.13
2019-03-08 13:50:00,52.02,0.87,16.13
2019-03-08 14:00:00,52.02,0.87,16.13
2019-03-08 14:10:00,52.02,0.87,16.13
2019-03-08 14:20:00,52.02,0.87,16.13
2019-03-08 14:30:00,52.02,0.87,16.13
2019-03-08 14:40:00,52.02,0.87,16.13
2019-03-08 14:50:00,52.02,0.87,16.13
2019-03-08 15:00:00,52.02,0.87,16.13
2019-03-08 15:10:00,52.02,0.87,16.13
2019-03-08 15:20:00,52.02,0.87,16.13
2019-03-08 15:30:00,52.02,0.87,16.13
2019-03-08 15:40:00,52.02,0.87,16.13
2019-03-08 15:50:00,52.02,0.87,16.13
2019-03-08 16:00:00,52.02,0.87,16.13
2019-03-08 16:10:00,52.02,0.87,16.13
2019-03-08 16:20:00,52.02,0.87,16.13
2019-03-08 16:30:00,52.02,0.87,16.13
2019-03-08 16:40:00,52.02,0.87,16.13
2019-03-08 16:50:00,52.02,0.87,16.13
2019-03-08 17:00:00,52.02,0.87,16.13
2019-03-08 17:10:00,52.02,0.87,16.13
2019-03-08 17:20:00,52.02,0.87,16.13
2019-03-08 17:30:00,52.02,0.87,16.13
2019-03-08 17:40:00,52.02,0.87,16.13
2019-03-08 17:50:00,52.02,0.87,16.13
2019-03-08 18:00:00,52.02,0.87,16.13
2019-03-08 18:10:00,52.02,0.87,16.13
2019-03-08 18:20:00,52.02,0.87,16.13
2019-03-08 18:30:00,52.02,0.87,16.13
2019-03-08 18:40:00,52.02,0.87,16.13
2019-03-08 18:50:00,52.02,0.87,16.13
2019-03-08 19:00:00,52.02,0.87,16.13
2019-03-08 19:10:00,52.02,0.87,16.13
2019-03-08 19:20:00,52.02,0.87,16.13
2019-03-08 19:30:00,52.02,0.87,16.13
2019-03-08 19:40:00,52.02,0.87,16.13
2019-03-08 19:50:00,52.02,0.87,16.13
2019-03-08 20:00:00,52.02,0.87,16.13
2019-03-08 20:10:00,52.02,0.87,16.13
2019-03-08 20:20:00,52.02,0.87,16.13
2019-03-08 20:30:00,52.02,0.87,16.13
2019-03-08 20:40:00,52.02,0.87,16.13
2019-03-08 20:50:00,52.02,0.87,16.13
2019-03-08 21:00:00,52.02,0.87,16.13
2019-03-08 21:10:00,52.02,0.87,16.13
2019-03-08 21:20:00,52.02,0.87,16.13
2019-03-08 21:30:00,52.02,0.87,16.13
2019-03-08 21:40:00,52.02,0.87,16.13
2019-03-08 21:50:00,52.02,0.87,16.13
2019-03-08 22:00:00,52.02,0.87,16.13
2019-03-08 22:10:00,52.02,0.87,16.13
2019-03-08 22:20:00,52.02,0.87,16.13
2019-03-08 22:30:00,52.02,0.87,16.13
2019-03-08 22:40:00,52.02,0.87,16.13
2019-03-08 22:50:00,52.02,0.87,16.13
2019-03-08 23:00:00,52.02,0.87,16.13
2019-03-08 23:10:00,52.02,0.87,16.13
2019-03-08 23:20:00,52.02,0.87,16.13
2019-03-08 23:30:00,52.02,0.87,16.13
2019-03-08 23:40:00,52.02,0.87,16.13
2019-03-08 23:50:00,52.02,0.87,16.13
2019-03-09 00:00:00,52.02,0.87,16.13
2019-03-09 00:10:00,52.02,0.87,16.13
2019-03-09 00:20:00,52.02,0.87,16.13
2019-03-09 00:30:00,52.02,0.87,16.13
2019-03-09 00:40:00,52.02,0.87,16.13
