Timestamp,HumidityMeasurementState,LuminescenceState,TemperatureState
2019-02-28 22:40:00,,0.34,14.98
2019-02-28 22:50:00,53.02,0.34,14.98
2019-02-28 23:00:00,53.02,0.34,14.98
2019-02-28 23:10:00,53.02,0.34,14.98
2019-02-28 23:20:00,53.02,0.34,14.98
2019-02-28 23:30:00,53.02,0.34,14.98
2019-02-28 23:40:00,53.02,0.34,14.98
2019-02-28 23:50:00,53.02,0.34,14.98
2019-03-01 00:00:00,53.02,0.34,14.98
2019-03-01 00:10:00,53.02,0.34,14.98
2019-03-01 00:20:00,53.02,0.34,14.98
2019-03-01 00:30:00,53.02,0.34,14.98
2019-03-01 00:40:00,53.02,0.34,14.98
2019-03-01 00:50:00,53.02,0.34,14.98
2019-03-01 01:00:00,53.02,0.34,14.98
2019-03-01 01:10:00,53.02,0.34,14.98
2019-03-01 01:20:00,53.02,0.34,14.98
2019-03-01 01:30:00,53.02,0.34,14.98
2019-03-01 01:40:00,53.02,0.34,14.98
2019-03-01 01:50:00,53.02,0.34,14.98
2019-03-01 02:00:00,53.02,0.34,14.98
2019-03-01 02:10:00,53.02,0.34,14.98
2019-03-01 02:20:00,53.02,0.34,14.98
2019-03-01 02:30:00,53.02,0.34,14.98
2019-03-01 02:40:00,53.02,0.34,14.98
2019-03-01 02:50:00,53.02,0.34,14.98
2019-03-01 03:00:00,53.02,0.34,14.98
2019-03-01 03:10:00,53.02,0.34,14.98
2019-03-01 03:20:00,53.02,0.34,14.98
2019-03-01 03:30:00,52.67,0.34,14.77
2019-03-01 03:40:00,52.67,0.34,14.77
2019-03-01 03:50:00,52.67,0.34,14.77
2019-03-01 04:00:00,52.67,0.34,14.77
2019-03-01 04:10:00,52.67,0.34,14.77
2019-03-01 04:20:00,52.67,0.34,14.77
2019-03-01 04:30:00,52.67,0.34,14.77
2019-03-01 04:40:00,52.67,0.34,14.77
2019-03-01 04:50:00,52.67,0.34,14.77
2019-03-01 05:00:00,52.67,0.34,14.77
2019-03-01 05:10:00,52.67,0.34,14.77
2019-03-01 05:20:00,52.67,0.34,14.77
2019-03-01 05:30:00,52.67,0.34,14.77
2019-03-01 05:40:00,52.31,0.34,14.57
2019-03-01 05:50:00,52.31,0.34,14.57
2019-03-01 06:00:00,52.31,0.34,14.57
2019-03-01 06:10:00,52.31,0.34,14.57
2019-03-01 06:20:00,52.31,0.34,14.57
2019-03-01 06:30:00,52.31,0.34,14.57
2019-03-01 06:40:00,52.31,0.34,14.57
2019-03-01 06:50:00,52.31,0.34,14.57
