Class,Value,Timestamp
Livingroom,0,2019-03-19 07:43:41
Livingroom,1,2019-03-19 07:48:14
Livingroom,0,2019-03-19 07:50:39
Livingroom,1,2019-03-19 07:50:52
Livingroom,0,2019-03-19 07:53:14
Livingroom,1,2019-03-19 07:54:32
Livingroom,0,2019-03-19 07:56:45
Livingroom,1,2019-03-19 08:00:40
Livingroom,0,2019-03-19 08:03:02
Livingroom,1,2019-03-19 08:05:10
Livingroom,0,2019-03-19 08:07:21
Livingroom,1,2019-03-19 08:12:16
Livingroom,0,2019-03-19 08:24:37
Livingroom,1,2019-03-19 08:36:59
Livingroom,0,2019-03-19 08:41:08
Livingroom,1,2019-03-19 08:57:30
Livingroom,0,2019-03-19 08:59:39
Livingroom,1,2019-03-19 09:19:31
Livingroom,0,2019-03-19 09:21:46
Livingroom,1,2019-03-19 09:24:16
Livingroom,0,2019-03-19 09:26:38
Livingroom,1,2019-03-19 09:26:59
Livingroom,0,2019-03-19 09:29:09
Livingroom,1,2019-03-19 09:29:27
Livingroom,0,2019-03-19 09:31:36
Livingroom,1,2019-03-19 10:18:04
Livingroom,0,2019-03-19 10:20:21
Livingroom,1,2019-03-19 10:22:29
Livingroom,0,2019-03-19 10:24:43
Livingroom,1,2019-03-19 10:27:14
Livingroom,0,2019-03-19 10:33:42
Livingroom,1,2019-03-19 10:34:03
Livingroom,0,2019-03-19 10:38:26
Livingroom,1,2019-03-19 10:43:45
Livingroom,0,2019-03-19 10:46:06
Livingroom,1,2019-03-19 10:49:41
Livingroom,0,2019-03-19 10:51:55
Livingroom,1,2019-03-19 10:53:38
Livingroom,0,2019-03-19 10:55:47
Livingroom,1,2019-03-19 10:56:53
Livingroom,0,2019-03-19 11:01:23
Livingroom,1,2019-03-19 11:02:29
Livingroom,0,2019-03-19 11:06:52
Livingroom,1,2019-03-19 11:11:24
Livingroom,0,2019-03-19 11:13:36
Livingroom,1,2019-03-19 11:13:55
Livingroom,0,2019-03-19 11:16:09
Livingroom,1,2019-03-19 11:16:28
Livingroom,0,2019-03-19 11:18:42
Livingroom,1,2019-03-19 12:30:11
Livingroom,0,2019-03-19 12:38:42
Livingroom,1,2019-03-19 12:39:17
Livingroom,0,2019-03-19 12:43:44
Livingroom,1,2019-03-19 12:46:29
Livingroom,0,2019-03-19 12:48:42
Livingroom,1,2019-03-19 12:49:22
Livingroom,0,2019-03-19 12:51:39
Livingroom,1,2019-03-19 12:52:36
Livingroom,0,2019-03-19 12:56:55
Livingroom,1,2019-03-19 12:57:05
Livingroom,0,2019-03-19 12:59:19
Livingroom,1,2019-03-19 13:51:07
Livingroom,0,2019-03-19 13:53:24
Livingroom,1,2019-03-19 13:53:36
Livingroom,0,2019-03-19 13:55:53
Livingroom,1,2019-03-19 13:57:21
Livingroom,0,2019-03-19 13:59:36
Livingroom,1,2019-03-19 14:00:06
Livingroom,0,2019-03-19 14:02:19
Livingroom,1,2019-03-19 14:03:03
Livingroom,0,2019-03-19 14:07:22
Livingroom,1,2019-03-19 14:08:06
Livingroom,0,2019-03-19 14:10:16
Livingroom,1,2019-03-19 14:14:04
Livingroom,0,2019-03-19 14:18:25
Livingroom,1,2019-03-19 14:18:45
Livingroom,0,2019-03-19 14:20:59
Livingroom,1,2019-03-19 14:23:48
Livingroom,0,2019-03-19 14:28:04
Livingroom,1,2019-03-19 14:29:08
Livingroom,0,2019-03-19 14:31:22
Livingroom,1,2019-03-19 14:34:39
Livingroom,0,2019-03-19 14:38:56
Livingroom,1,2019-03-19 14:45:14
Livingroom,0,2019-03-19 14:47:29
Livingroom,1,2019-03-19 14:50:12
Livingroom,0,2019-03-19 14:52:33
Livingroom,1,2019-03-19 14:53:49
Livingroom,0,2019-03-19 14:56:03
Livingroom,1,2019-03-19 14:57:32
Livingroom,0,2019-03-19 15:04:12
Livingroom,1,2019-03-19 15:04:33
Livingroom,0,2019-03-19 15:06:48
Livingroom,1,2019-03-19 15:08:47
Livingroom,0,2019-03-19 15:11:01
Livingroom,1,2019-03-19 15:12:14
Livingroom,0,2019-03-19 15:14:24
Livingroom,1,2019-03-19 15:15:19
Livingroom,0,2019-03-19 15:17:29
Livingroom,1,2019-03-19 15:20:37
Livingroom,0,2019-03-19 15:22:51
Livingroom,1,2019-03-19 15:24:51
Livingroom,0,2019-03-19 15:29:14
Livingroom,1,2019-03-19 15:29:58
Livingroom,0,2019-03-19 15:34:11
Livingroom,1,2019-03-19 15:34:24
Livingroom,0,2019-03-19 15:36:39
Livingroom,1,2019-03-19 15:46:25
Livingroom,0,2019-03-19 15:48:38
Livingroom,1,2019-03-19 15:48:56
Livingroom,0,2019-03-19 15:55:15
Livingroom,1,2019-03-19 16:02:05
Livingroom,0,2019-03-19 16:04:15
Livingroom,1,2019-03-19 16:10:38
Livingroom,0,2019-03-19 16:12:55
Livingroom,1,2019-03-19 16:13:50
Livingroom,0,2019-03-19 16:15:59
Livingroom,1,2019-03-19 16:20:19
Livingroom,0,2019-03-19 16:22:42
Livingroom,1,2019-03-19 16:23:19
Livingroom,0,2019-03-19 16:25:33
Livingroom,1,2019-03-19 16:27:49
Livingroom,0,2019-03-19 16:30:12
Livingroom,1,2019-03-19 16:30:40
Livingroom,0,2019-03-19 16:35:09
Livingroom,1,2019-03-19 16:37:35
Livingroom,0,2019-03-19 16:39:46
Livingroom,1,2019-03-19 16:47:43
Livingroom,0,2019-03-19 16:52:13
Livingroom,1,2019-03-19 16:52:22
Livingroom,0,2019-03-19 16:54:44
Livingroom,1,2019-03-19 16:59:33
Livingroom,0,2019-03-19 17:01:51
Livingroom,1,2019-03-19 17:02:12
Livingroom,0,2019-03-19 17:04:34
Livingroom,1,2019-03-19 17:05:01
Livingroom,0,2019-03-19 17:09:38
Livingroom,1,2019-03-19 17:09:50
Livingroom,0,2019-03-19 17:12:00
Livingroom,1,2019-03-19 17:13:03
Livingroom,0,2019-03-19 17:15:24
Livingroom,1,2019-03-19 17:19:27
Livingroom,0,2019-03-19 17:21:48
Livingroom,1,2019-03-19 17:22:50
Livingroom,0,2019-03-19 17:27:08
Livingroom,1,2019-03-19 17:41:35
Livingroom,0,2019-03-19 17:43:45
Livingroom,1,2019-03-19 17:51:31
Livingroom,0,2019-03-19 17:53:45
Livingroom,1,2019-03-19 18:00:36
Livingroom,0,2019-03-19 18:02:59
Livingroom,1,2019-03-19 18:03:17
Livingroom,0,2019-03-19 18:05:39
Livingroom,1,2019-03-19 18:05:58
Livingroom,0,2019-03-19 18:08:21
Livingroom,1,2019-03-19 18:11:16
Livingroom,0,2019-03-19 18:15:34
Livingroom,1,2019-03-19 18:16:21
Livingroom,0,2019-03-19 18:18:38
Livingroom,1,2019-03-19 18:20:03
Livingroom,0,2019-03-19 18:26:18
Livingroom,1,2019-03-19 18:27:54
Livingroom,0,2019-03-19 18:30:08
Livingroom,1,2019-03-19 18:33:01
Livingroom,0,2019-03-19 18:35:15
Livingroom,1,2019-03-19 18:35:28
Livingroom,0,2019-03-19 18:37:40
Livingroom,1,2019-03-19 18:40:24
Livingroom,0,2019-03-19 18:42:34
Livingroom,1,2019-03-19 18:46:09
Livingroom,0,2019-03-19 18:48:19
Livingroom,1,2019-03-19 18:49:07
Livingroom,0,2019-03-19 18:51:17
Livingroom,1,2019-03-19 18:52:02
Livingroom,0,2019-03-19 18:54:13
Livingroom,1,2019-03-19 18:55:26
Livingroom,0,2019-03-19 18:57:41
Livingroom,1,2019-03-19 19:02:17
Livingroom,0,2019-03-19 19:04:31
Livingroom,1,2019-03-19 19:05:56
Livingroom,0,2019-03-19 19:08:19
Livingroom,1,2019-03-19 19:09:16
Livingroom,0,2019-03-19 19:11:33
Livingroom,1,2019-03-19 19:12:07
Livingroom,0,2019-03-19 19:14:18
Livingroom,1,2019-03-19 19:14:37
Livingroom,0,2019-03-19 19:16:51
Livingroom,1,2019-03-19 19:17:34
Livingroom,0,2019-03-19 19:19:48
Livingroom,1,2019-03-19 19:22:12
Livingroom,0,2019-03-19 19:24:27
Livingroom,1,2019-03-19 19:25:44
Livingroom,0,2019-03-19 19:27:58
Livingroom,1,2019-03-19 19:29:46
Livingroom,0,2019-03-19 19:32:03
Livingroom,1,2019-03-19 19:33:32
Livingroom,0,2019-03-19 19:35:47
Livingroom,1,2019-03-19 19:36:32
Livingroom,0,2019-03-19 19:38:47
Livingroom,1,2019-03-19 19:43:20
Livingroom,0,2019-03-19 19:45:33
Livingroom,1,2019-03-19 19:49:57
Livingroom,0,2019-03-19 19:52:19
Livingroom,1,2019-03-19 19:53:30
Livingroom,0,2019-03-19 20:02:15
Livingroom,1,2019-03-19 20:02:27
Livingroom,0,2019-03-19 20:04:37
Livingroom,1,2019-03-19 20:04:49
Livingroom,0,2019-03-19 20:06:59
Livingroom,1,2019-03-19 20:11:47
Livingroom,0,2019-03-19 20:14:08
Livingroom,1,2019-03-19 20:14:21
Livingroom,0,2019-03-19 20:16:35
Livingroom,1,2019-03-19 20:23:21
